key,collection_id,type,bands,native_scale_m,scale_factor,temporal_coverage,used_by,note
landsat5,LANDSAT/LT05/C02/T1_L2,image_collection,"ST_B6, SR_B1, SR_B2, SR_B3, SR_B4, SR_B5, SR_B7",,ST: DN x 0.00341802 + 149.0 = K; SR: DN x 0.0000275 - 0.2,1984-03-16 to 2012-05-05,params.yaml:landsat_c2l2.sensor_keys,
landsat7,LANDSAT/LE07/C02/T1_L2,image_collection,"ST_B6, SR_B1, SR_B2, SR_B3, SR_B4, SR_B5, SR_B7",,ST: DN x 0.00341802 + 149.0 = K; SR: DN x 0.0000275 - 0.2,1999-05-28 to 2024-01-19,params.yaml:landsat_c2l2.sensor_keys,
landsat8,LANDSAT/LC08/C02/T1_L2,image_collection,"ST_B10, SR_B2, SR_B3, SR_B4, SR_B5, SR_B6, SR_B7",,ST: DN x 0.00341802 + 149.0 = K; SR: DN x 0.0000275 - 0.2,2013-03-18 to ongoing,"landsat.py, params.yaml:aoi.water_mask.composite.landsat_sources, params.yaml:landsat_c2l2.sensor_keys, params.yaml:uhi.suhii.sources.sensors",
landsat9,LANDSAT/LC09/C02/T1_L2,image_collection,"ST_B10, SR_B2, SR_B3, SR_B4, SR_B5, SR_B6, SR_B7",,ST: DN x 0.00341802 + 149.0 = K; SR: DN x 0.0000275 - 0.2,2021-10-31 to ongoing,"params.yaml:aoi.water_mask.composite.landsat_sources, params.yaml:landsat_c2l2.sensor_keys, params.yaml:uhi.suhii.sources.sensors",
modis_terra_lst,MODIS/061/MOD11A2,image_collection,"LST_Day_1km, LST_Night_1km, QC_Day, QC_Night",1000,LST: DN x 0.02 = K,2000-02-18 to ongoing,"modis.py, params.yaml:modis_lst.products.terra",
modis_aqua_lst,MODIS/061/MYD11A2,image_collection,"LST_Day_1km, LST_Night_1km, QC_Day, QC_Night",1000,LST: DN x 0.02 = K,2002-07-04 to ongoing,params.yaml:modis_lst.products.aqua,
dynamic_world,GOOGLE/DYNAMICWORLD/V1,image_collection,label,10,none (native units),2015-06-27 to ongoing,"greening.py, landcover.py, prediction.py, spatial_stats.py, params.yaml:greening.landcover_scheme, params.yaml:greening.wetland.source_definitions.dw_flooded_vegetation.dataset, params.yaml:prediction.ca_markov.scheme, params.yaml:spatial_stats.landscape.schemes",
worldcover_2020,ESA/WorldCover/v100,image_collection,Map,10,none (native units),2020,not referenced,
worldcover_2021,ESA/WorldCover/v200,image_collection,Map,10,none (native units),2021,"params.yaml:greening.wetland.source_definitions.worldcover_wetland.dataset, params.yaml:spatial_stats.landscape.worldcover_asset, params.yaml:trends.stratify.worldcover_asset",
ghsl_built,JRC/GHSL/P2023A/GHS_BUILT_S,image_collection,"built_surface, built_surface_nres",100,none (native units),1975-01-01 to 2030-12-31,"aoi.py, uhi_metrics.py",
lcz,RUB/RUBCLIM/LCZ/global_lcz_map/latest,image_collection,"LCZ_Filter, LCZ",100,none (native units),"[2018, 2019]","aoi.py, landcover.py, trends.py, params.yaml:trends.stratify.products",
srtm,USGS/SRTMGL1_003,image,elevation,30,none (native units),not stated in params.yaml,"aoi.py, auth.py, spatial_stats.py, viz.py, params.yaml:spatial_stats.covariates.elevation.source",
worldpop,WorldPop/GP/100m/pop,image_collection,population,100,none (native units),2000-01-01 to 2020-12-31,"spatial_stats.py, params.yaml:spatial_stats.covariates.population.source",
viirs_nightlights,NOAA/VIIRS/DNB/MONTHLY_V1/VCMSLCFG,image_collection,"avg_rad, cf_cvg",464,none (native units),2014-01-01 to ongoing,not referenced,
surface_water,JRC/GSW1_4/GlobalSurfaceWater,image,"occurrence, max_extent, seasonality",30,"percent occurrence, 0-100 (no scaling)",not stated in params.yaml,"aoi.py, spatial_stats.py, params.yaml:greening.wetland.source_definitions.gsw_seasonal.dataset",
aster_ged,NASA/ASTER_GED/AG100_003,image,"ndvi, emissivity_band10, emissivity_band11, emissivity_band12, emissivity_band13, emissivity_band14",100,DN x 0.001,not stated in params.yaml,not referenced,Only needed if computing LST manually; C2 L2 ST products already use ASTER GED.
era5_land,ECMWF/ERA5_LAND/MONTHLY_AGGR,image_collection,"skin_temperature, temperature_2m",11132,none (native units),1950-02-01 to ongoing,not referenced,
gaul_level2,FAO/GAUL_SIMPLIFIED_500m/2015/level2,feature_collection,(all),,none (native units),not stated in params.yaml,aoi.py,
gsod,NOT IN THE EARTH ENGINE CATALOG,external,,,,,not used - see note,Katunayake (Bandaranaike Intl Airport) (WMO 43450). Status: unresolved - see PROGRESS.md.
asset:ds_divisions,projects/research-uhi-484404/assets/lka_admin3,user-uploaded Earth Engine asset,,,,,aoi.py,"GN-division polygons are not in GAUL, GADM or any other public Earth Engine dataset and must be uploaded by the project owner."
asset:gn_divisions,projects/research-uhi-484404/assets/lka_admin4,user-uploaded Earth Engine asset,,,,,aoi.py,"GN-division polygons are not in GAUL, GADM or any other public Earth Engine dataset and must be uploaded by the project owner."
