zone_id,name,n_bins,n_hot,n_cold,hot_share,cold_share,final_run,mk_tau,mk_z,mk_p,mk_slope,trend,category,reason,noise_sd,detectable_slope,underpowered,status
LK1103005,Sammanthranapura,26,17,0,0.6538461538461539,0.0,4,0.11384615384615385,0.7934958270402966,0.4274889995990474,0.007864970993407184,no trend,sporadic_hot_spot,"on and off hot in 65% of bins, never the opposite",0.35751346316597904,0.02876122874845189,False,ok
LK1103010,Mattakkuliya,26,25,0,0.9615384615384616,0.0,8,-0.003076923076923077,0.0,1.0,-0.0002882974017526981,no trend,persistent_hot_spot,hot in 96% of bins with no significant trend,0.5341626155455265,0.04297229267543346,False,ok
LK1103015,Modara,26,25,0,0.9615384615384616,0.0,8,-0.04,-0.2644986090134322,0.7913957365052897,-0.004357422164100577,no trend,persistent_hot_spot,hot in 96% of bins with no significant trend,0.6806655262602792,0.05475815296183286,False,ok
LK1103020,Madampitiya,26,24,0,0.9230769230769231,0.0,8,-0.015384615384615385,-0.0881662030044774,0.9297445787752687,-0.001487357445145565,no trend,persistent_hot_spot,hot in 92% of bins with no significant trend,0.5875159903865165,0.04726446283516588,False,ok
LK1103025,Mahawatta,26,25,0,0.9615384615384616,0.0,8,-0.08307692307692308,-0.5730803195291031,0.5665903119394651,-0.014352734453365823,no trend,persistent_hot_spot,hot in 96% of bins with no significant trend,0.808210006336844,0.06501884618048624,False,ok
LK1103030,Aluthmawatha,26,24,0,0.9230769230769231,0.0,8,-0.07076923076923076,-0.48491411652462574,0.6277372683701175,-0.012339781591051483,no trend,persistent_hot_spot,hot in 92% of bins with no significant trend,0.7571844188908896,0.060913941767765135,False,ok
LK1103035,Lunupokuna,26,26,0,1.0,0.0,26,-0.15076923076923077,-1.0579944360537288,0.29005797903523867,-0.020351773287036048,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.7336936861156959,0.05902416023944703,False,ok
LK1103040,Bloemendhal,26,26,0,1.0,0.0,26,-0.10153846153846154,-0.7053296240358192,0.4806051289858302,-0.024246391698737213,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.9387266931244888,0.07551864736544679,False,ok
LK1103045,Kotahena East,26,26,0,1.0,0.0,26,-0.12,-0.8375789285425354,0.40226723126443065,-0.015534200007745943,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.698928697218284,0.05622738780670749,False,ok
LK1103050,Kotahena West,26,26,0,1.0,0.0,26,-0.23076923076923078,-1.631074755582832,0.10287454664474693,-0.022998136525978354,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6063549622154528,0.048780019685415545,False,ok
LK1103055,Kochchikade North,26,26,0,1.0,0.0,26,-0.28,-1.9837395676007417,0.04728488016768839,-0.0246923389901903,decreasing,diminishing_hot_spot,hot in 100% of bins but significantly decreasing,0.5901950103028235,0.04747998452196399,False,ok
LK1103060,Jinthupitiya,26,26,0,1.0,0.0,26,-0.2676923076923077,-1.8955733645962642,0.058016482085702537,-0.021731586536928103,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.5671189970746637,0.045623566335135375,False,ok
LK1103065,Masangasweediya,26,26,0,1.0,0.0,26,-0.18153846153846154,-1.2784099435649223,0.20110491981248035,-0.02019856677845855,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6541202065845126,0.0526226361490267,False,ok
LK1103070,New Bazaar,26,26,0,1.0,0.0,26,-0.10153846153846154,-0.7053296240358192,0.4806051289858302,-0.013276663735256822,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6886963405984315,0.0554042155916721,False,ok
LK1103075,Grandpass South,26,26,0,1.0,0.0,26,-0.07692307692307693,-0.5289972180268644,0.5968073797467659,-0.01251555007305,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.8107322507699977,0.06522175559950233,False,ok
LK1103080,Grandpass North,26,26,0,1.0,0.0,26,-0.07076923076923076,-0.48491411652462574,0.6277372683701175,-0.009483151996598771,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6998922253035199,0.056304901675470975,False,ok
LK1103085,Nawagampura,26,26,0,1.0,0.0,26,-0.07076923076923076,-0.48491411652462574,0.6277372683701175,-0.007211500612458557,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6739328330584791,0.054216521529116095,False,ok
LK1103090,Maligawatta East,26,26,0,1.0,0.0,26,0.021538461538461538,0.1322493045067161,0.8947871042097533,0.001939873914026058,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.7103084379180673,0.05714286473019494,False,ok
LK1103095,Khettarama,26,26,0,1.0,0.0,26,-0.08307692307692308,-0.5730803195291031,0.5665903119394651,-0.011793670547862047,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6386130827573596,0.051375119673217076,False,ok
LK1103100,Aluthkade East,26,26,0,1.0,0.0,26,-0.18153846153846154,-1.2784099435649223,0.20110491981248035,-0.019726559431074264,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6320504306219477,0.05084716769739045,False,ok
LK1103105,Aluthkade West,26,26,0,1.0,0.0,26,-0.16923076923076924,-1.190243740560445,0.23395060590621997,-0.01620670081538679,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.5892726426704709,0.047405781927663516,False,ok
LK1103110,Kochchikade South,26,26,0,1.0,0.0,26,-0.2,-1.4106592480716384,0.15834511256712158,-0.026742787726737563,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6803653083472946,0.05473400104320784,False,ok
LK1103115,Pettah,26,26,0,1.0,0.0,26,-0.24307692307692308,-1.7192409585873094,0.08557050563653745,-0.033551757336251896,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6696836745790745,0.05387468539815663,False,ok
LK1103120,Fort,26,26,0,1.0,0.0,26,-0.13230769230769232,-0.9257451315470128,0.3545784475977316,-0.013877105442809779,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6305777397039465,0.050728692717474134,False,ok
LK1103125,Galle Face,26,23,0,0.8846153846153846,0.0,5,-0.003076923076923077,0.0,1.0,-0.0006003635413798077,no trend,sporadic_hot_spot,"on and off hot in 88% of bins, never the opposite",0.7369888627981688,0.059289250481061706,False,ok
LK1103130,Slave Island,26,25,0,0.9615384615384616,0.0,19,0.003076923076923077,0.0,1.0,0.0009235692223159712,no trend,persistent_hot_spot,hot in 96% of bins with no significant trend,0.6463693890779235,0.05199909869306516,False,ok
LK1103135,Hunupitiya,26,26,0,1.0,0.0,26,-0.08307692307692308,-0.5730803195291031,0.5665903119394651,-0.00676528878014209,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.5386094230096234,0.04333002926398772,False,ok
LK1103140,Suduwella,26,26,0,1.0,0.0,26,-0.2,-1.4106592480716384,0.15834511256712158,-0.02914661758551532,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6750020210706577,0.05430253552344529,False,ok
LK1103145,Keselwatta,26,26,0,1.0,0.0,26,-0.2246153846153846,-1.5869916540805933,0.11251453486444052,-0.024649269413373025,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6657648492823589,0.05355942389783173,False,ok
LK1103150,Panchikawatta,26,26,0,1.0,0.0,26,-0.13846153846153847,-0.9698282330492515,0.3321321174074414,-0.017522828369719804,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.56567107061645,0.045507083605486984,False,ok
LK1103155,Maligawatta West,26,26,0,1.0,0.0,26,-0.06461538461538462,-0.44083101502238703,0.6593353383597194,-0.009781123809072081,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6731629866391797,0.05415458895524722,False,ok
LK1103160,Maligakanda,26,26,0,1.0,0.0,26,-0.08307692307692308,-0.5730803195291031,0.5665903119394651,-0.007792730860973072,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.5348077772996553,0.04302419462235857,False,ok
LK1103165,Maradana,26,26,0,1.0,0.0,26,-0.1076923076923077,-0.7494127255380579,0.4536084832864735,-0.01205899501617009,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.5170698245463097,0.041597212510551054,False,ok
LK1103170,Ibbanwala,26,26,0,1.0,0.0,26,0.021538461538461538,0.1322493045067161,0.8947871042097533,0.006488704164105014,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6605714641178828,0.05314162665637521,False,ok
LK1103175,Wekanda,26,24,0,0.9230769230769231,0.0,12,0.052307692307692305,0.3526648120179096,0.7243397423849234,0.006577570558578418,no trend,persistent_hot_spot,hot in 92% of bins with no significant trend,0.7012443507397781,0.05641367740834671,False,ok
LK1106005,Wadulla,26,26,0,1.0,0.0,26,-0.09538461538461539,-0.6612465225335805,0.5084542305885602,-0.014261128604550866,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.8013662458724891,0.06446827961308527,False,ok
LK1106010,Sedawatta,26,21,0,0.8076923076923077,0.0,1,-0.08307692307692308,-0.5730803195291031,0.5665903119394651,-0.010443414887241794,no trend,sporadic_hot_spot,"on and off hot in 81% of bins, never the opposite",0.7162328289199028,0.05761946989994195,False,ok
