zone_id,name,year,mean,pixel_count
LK1103005,Sammanthranapura,2000,22.57321585335668,33
LK1103005,Sammanthranapura,2001,23.256024917483487,33
LK1103005,Sammanthranapura,2002,23.90141956311157,33
LK1103005,Sammanthranapura,2003,23.722054937467675,33
LK1103010,Mattakkuliya,2000,22.587221528370517,267
LK1103010,Mattakkuliya,2001,23.34386838567804,267
LK1103010,Mattakkuliya,2002,23.971376433928775,267
LK1103010,Mattakkuliya,2003,23.546880525158073,267
LK1103015,Modara,2000,23.295403060380206,113
LK1103015,Modara,2001,23.50855328996723,113
LK1103015,Modara,2002,23.993259470741073,113
LK1103015,Modara,2003,23.485073634475942,113
LK1103020,Madampitiya,2000,22.47315788269043,42
LK1103020,Madampitiya,2001,23.29695701599121,42
LK1103020,Madampitiya,2002,23.89181900024414,42
LK1103020,Madampitiya,2003,23.210800170898438,42
LK1103025,Mahawatta,2000,23.197949057457432,75
LK1103025,Mahawatta,2001,23.44292149796873,75
LK1103025,Mahawatta,2002,23.810203813066416,75
LK1103025,Mahawatta,2003,23.72993362000833,75
LK1103030,Aluthmawatha,2000,23.76850971467663,93
LK1103030,Aluthmawatha,2001,23.391720600637413,93
LK1103030,Aluthmawatha,2002,23.897400893733366,93
LK1103030,Aluthmawatha,2003,23.763170998414186,93
LK1103035,Lunupokuna,2000,24.185760946161658,172
LK1103035,Lunupokuna,2001,23.280547794189246,172
LK1103035,Lunupokuna,2002,23.784005402622,172
LK1103035,Lunupokuna,2003,24.045918640012395,172
LK1103040,Bloemendhal,2000,23.73346574493749,132
LK1103040,Bloemendhal,2001,23.56624211140007,132
LK1103040,Bloemendhal,2002,24.002630654351396,132
LK1103040,Bloemendhal,2003,24.15918295841922,132
LK1103045,Kotahena East,2000,23.911595173582402,53
LK1103045,Kotahena East,2001,23.58905786468967,53
LK1103045,Kotahena East,2002,24.205108539589528,53
LK1103045,Kotahena East,2003,24.210901709406215,53
LK1103050,Kotahena West,2000,24.06899579334821,44
LK1103050,Kotahena West,2001,23.244668401294696,44
