zone_id,value,gi_z,p_norm,p_sim,p_adjusted,significant,confidence_class
LK1103,37.5903587486811,1.0428250639521122,0.2970293208460638,0.18,0.26260000000000006,False,ns
LK1106,37.31849770514596,0.960797217341663,0.33665413800826605,0.189,0.26260000000000006,False,ns
LK1109,35.41384951546048,-0.593022625331939,0.5531660106298927,0.355,0.38458333333333333,False,ns
LK1112,34.43559395490619,-3.071419437992953,0.0021304364623235196,0.001,0.006500000000000001,True,cold_99
LK1115,33.67149267355816,-2.5961744619197518,0.009426818678407963,0.001,0.006500000000000001,True,cold_99
LK1118,33.20246603689624,-2.5961744619197518,0.009426818678407963,0.015,0.065,False,cold_90
LK1121,36.18860381317734,-0.24318872168313863,0.8078592034427097,0.429,0.429,False,ns
LK1124,38.58852147537687,1.4158658786541005,0.15681477680653816,0.13,0.26260000000000006,False,ns
LK1127,39.48502262415059,2.14193545129697,0.03219867661192296,0.035,0.11375000000000002,False,ns
LK1130,40.31772537067075,1.9756215755531825,0.048197653148745946,0.064,0.16640000000000002,False,ns
LK1131,39.804020190290274,1.5331044558326288,0.12525012000071076,0.147,0.26260000000000006,False,ns
LK1133,38.13281966176869,0.7237350970784862,0.4692283817062788,0.299,0.3533636363636364,False,ns
LK1136,35.30972462697947,0.6816217183822508,0.4954781782609562,0.202,0.26260000000000006,False,ns
