zone_id,value,gi_z,p_norm,p_sim,p_adjusted,significant,confidence_class
LK1103005,40.87351329366936,1.468659757929352,0.14192509764543565,0.242,0.3041595505617978,False,ns
LK1103010,40.058788546088834,2.4332113484413798,0.014965562595833523,0.011,0.02974271844660194,True,hot_95
LK1103015,41.35288752330267,2.875403167602094,0.004035118939162915,0.009,0.025576530612244897,True,hot_95
LK1103020,41.42273422907296,2.593593476397451,0.009497871631865695,0.017,0.0408146551724138,True,hot_95
LK1103025,41.712290191301264,3.8082782598078313,0.00013993775240510867,0.001,0.005925531914893618,True,hot_99
LK1103030,40.979248978572144,3.2875446356807485,0.0010106516631670183,0.003,0.011767605633802818,True,hot_95
LK1103035,41.2960696797079,3.9559890995058886,7.62186363849251e-05,0.001,0.005925531914893618,True,hot_99
LK1103040,42.59313319011368,5.485242531026988,4.129025326587371e-08,0.001,0.005925531914893618,True,hot_99
LK1103045,42.24363011606653,4.501911493448885,6.734502708478532e-06,0.001,0.005925531914893618,True,hot_99
LK1103050,42.16127183348349,3.6697277710974276,0.0002428089068140752,0.003,0.011767605633802818,True,hot_95
LK1103055,42.38586889562667,3.8740946128043654,0.00010702183148777954,0.001,0.005925531914893618,True,hot_99
LK1103060,42.07945621413674,3.868504805618799,0.00010950477861062195,0.001,0.005925531914893618,True,hot_99
LK1103065,42.461064313639696,4.902902078646268,9.44310636905993e-07,0.001,0.005925531914893618,True,hot_99
LK1103070,44.50234463011088,5.196355764920476,2.032331495682791e-07,0.001,0.005925531914893618,True,hot_99
LK1103075,43.07073861372083,5.816164173396935,6.0213331093857646e-09,0.001,0.005925531914893618,True,hot_99
LK1103080,44.06013443223616,4.507267822902271,6.566772429104762e-06,0.001,0.005925531914893618,True,hot_99
LK1103085,43.24629145959389,4.727715652793852,2.270598543638296e-06,0.001,0.005925531914893618,True,hot_99
LK1103090,42.50783214185552,4.493526835345525,7.00531889482527e-06,0.001,0.005925531914893618,True,hot_99
LK1103095,42.568109980892366,5.122503126189965,3.015060956103696e-07,0.001,0.005925531914893618,True,hot_99
LK1103100,42.63359060918679,4.880589339261083,1.0576928514486571e-06,0.001,0.005925531914893618,True,hot_99
LK1103105,41.8879254745836,3.7878798548284593,0.00015193828603889676,0.002,0.009858407079646019,True,hot_99
LK1103110,42.2398666281384,4.48753473392368,7.205206789980115e-06,0.001,0.005925531914893618,True,hot_99
LK1103115,42.49371928416821,2.966531090333683,0.0030117990856718536,0.01,0.02785,True,hot_95
LK1103120,34.244724140120084,1.8114250575307365,0.0700750800922502,0.009,0.025576530612244897,True,hot_95
LK1103125,39.10776068750023,0.9034668639188587,0.3662781669905678,0.232,0.2984387990762125,False,ns
LK1103130,41.41108318673396,0.9903095364494681,0.3220228467602714,0.335,0.37695959595959594,False,ns
LK1103135,40.40494867813115,1.5243703043268504,0.12741623385203324,0.128,0.19114209115281502,False,ns
LK1103140,40.39322963488549,3.538966363747097,0.0004016970338211082,0.002,0.009858407079646019,True,hot_99
LK1103145,41.63407974897,4.242195958813653,2.213432929906475e-05,0.001,0.005925531914893618,True,hot_99
LK1103150,42.20681269963582,3.915695035685738,9.014413695762315e-05,0.001,0.005925531914893618,True,hot_99
