zone_id,gi_z_pooled,gi_z_single_sensor,class_pooled,class_single_sensor
LK1103005,1.0197421255924985,0.96043722894817,ns,ns
LK1103010,1.498813191823237,1.424191984216241,ns,ns
LK1103015,1.7715884563185853,1.7084000054386907,ns,ns
LK1103020,1.5430511958625461,1.4953501033094405,ns,ns
LK1103025,2.5459422501137796,2.490548897860479,hot_95,hot_95
LK1103030,2.331648317209177,2.268820578740178,hot_95,hot_95
LK1103035,3.138011822165619,3.0824290252328015,hot_99,hot_99
LK1103040,4.152436041975497,4.126760615347169,hot_99,hot_99
LK1103045,3.5989515314383826,3.5699146280344394,hot_99,hot_99
LK1103050,3.0189268494231607,2.9897900801706982,hot_95,hot_95
LK1103055,3.2346305399736734,3.183768377960357,hot_99,hot_95
LK1103060,3.20398591651242,3.1652544890672107,hot_99,hot_95
LK1103065,4.057591994828124,4.006744699290361,hot_99,hot_99
LK1103070,4.019840861596066,3.9816388483553737,hot_99,hot_99
LK1103075,4.323121419477469,4.269041492477015,hot_99,hot_99
LK1103080,3.4142347584949104,3.393088040818132,hot_99,hot_99
LK1103085,3.592063851589124,3.573945497951949,hot_99,hot_99
LK1103090,3.4113003615868256,3.357421579430617,hot_99,hot_99
LK1103095,3.9149792828066774,3.8469875299518588,hot_99,hot_99
LK1103100,3.8705244095536893,3.8074851423248175,hot_99,hot_99
LK1103105,3.133415151332933,3.074915649588148,hot_99,hot_95
LK1103110,3.7255481322082624,3.6784693801128157,hot_99,hot_99
LK1103115,2.913970785590415,2.8781454092020855,hot_95,hot_95
LK1103120,2.0006572426779994,2.0444754495137443,hot_95,hot_95
LK1103125,1.4183195449479267,1.4512242113845504,ns,ns
LK1103130,1.4375645994598176,1.4998134033541801,ns,ns
LK1103135,1.8825937023035049,1.9875545448139305,ns,hot_90
LK1103140,3.3785524743331705,3.4092177142007194,hot_99,hot_99
LK1103145,3.5222534342059686,3.4428364099293707,hot_99,hot_99
LK1103150,3.064917616023229,3.0021409643015327,hot_95,hot_95
