zone_id,rank_ahp,rank_topsis,rank_shift,abs_shift
LK1133155,279,138,-141,141
LK1136305,343,225,-118,118
LK1133130,170,62,-108,108
LK1103120,261,159,-102,102
LK1106210,154,55,-99,99
LK1106200,317,222,-95,95
LK1106220,294,199,-95,95
LK1133055,136,42,-94,94
LK1103005,112,18,-94,94
LK1103020,102,16,-86,86
LK1136035,311,229,-82,82
LK1106205,210,130,-80,80
LK1133210,212,140,-72,72
LK1136310,362,290,-72,72
LK1106050,138,67,-71,71
LK1133190,162,95,-67,67
LK1106095,84,149,65,65
LK1130015,89,151,62,62
LK1133200,169,108,-61,61
LK1124055,129,189,60,60
