zone_id,observed_lst_c,greened_lst_c,delta_c,rank,priority
LK1103005,41.01134918328331,41.01134918328331,-5.921189464667501e-16,135,False
LK1103010,40.25015132508575,40.25015132508576,-3.533085426431437e-16,147,False
LK1103015,40.52054901097665,40.52054901097665,3.8407715446491904e-16,133,False
LK1103020,40.0746786307908,40.0746786307908,-2.9605947323337506e-16,155,False
LK1103025,40.17115979075095,40.17115979075095,2.900174431673878e-16,96,False
LK1103030,40.64116679729047,40.64116679729047,2.408619443254577e-16,113,False
LK1103035,40.618772535004915,39.64734891555355,-0.9714236194513705,53,True
LK1103040,40.944613336113804,40.223686406313284,-0.7209269298005149,17,True
LK1103045,41.449416290652884,40.86740286918096,-0.5820134214719158,9,True
LK1103050,41.04783374051402,40.520280269840214,-0.5275534706738092,45,True
LK1103055,41.1079500789458,40.570275900754524,-0.5376741781912728,29,True
LK1103060,41.500624394543436,40.95284647995573,-0.5477779145877065,24,True
LK1103065,41.826780031671916,41.26153728178751,-0.5652427498844004,7,True
LK1103070,42.21571986029188,41.37331215767126,-0.8424077026206136,1,True
LK1103075,41.55753362636736,40.73878240513609,-0.8187512212312555,2,True
LK1103080,41.71510605606322,40.93400850383633,-0.7810975522268998,3,True
LK1103085,41.605290948065054,40.82712858979877,-0.7781623582662854,5,True
LK1103090,40.21603977141307,40.216039771413065,-2.3684757858670006e-16,70,False
LK1103095,41.29573326341589,40.535928640122265,-0.7598046232935973,39,True
LK1103100,41.78080728264579,41.1426384569176,-0.6381688257281904,8,True
LK1103105,41.47687807136408,41.02971217046877,-0.4471659008953114,36,True
LK1103110,41.34424455690944,40.79671471603327,-0.5475298408761595,6,True
LK1103115,40.967903610859885,40.189684500709056,-0.7782191101508159,27,True
LK1103120,40.02255476661136,40.02255476661136,6.208625846447478e-16,117,False
LK1103125,39.54473456463535,39.54473456463535,1.246566203087895e-16,174,False
LK1103130,40.76407174855569,40.76407174855569,-1.937843824800273e-15,110,False
LK1103135,40.19420206067921,40.19420206067921,5.465713352000771e-16,127,False
LK1103140,40.100364042341205,40.100364042341205,-7.894919286223336e-17,75,False
LK1103145,41.161403394350025,40.595673911497975,-0.5657294828520485,43,True
LK1103150,41.473383315131215,40.95310560908226,-0.5202777060489534,46,True
LK1103155,41.118328444135166,40.42039116193419,-0.6979372822009617,31,True
LK1103160,41.5773734412206,40.82647634311609,-0.7508970981045057,25,True
LK1103165,41.515445507784094,40.93760655014974,-0.5778389576343507,30,True
LK1103170,40.97049161658439,40.97049161658439,9.473903143468003e-17,80,False
LK1103175,39.05539389335711,39.05539389335712,-2.153159805333637e-16,151,False
LK1106005,40.53593399694457,39.93698269910479,-0.5989512978397628,35,True
LK1106010,40.244091866153475,40.244091866153475,-1.5789838572446671e-16,122,False
LK1106015,38.511600257337086,38.511600257337086,-2.4501473646900006e-16,238,False
LK1106020,39.446416752593926,39.446416752593926,5.075305255429287e-16,194,False
LK1106025,39.32181550209245,39.32181550209245,-8.881784197001252e-16,156,False
LK1106030,41.50160584218974,40.642938700440475,-0.8586671417492598,10,True
LK1106035,40.76180165073115,40.03501937435339,-0.7267822763777447,48,True
LK1106040,39.519905028529735,39.519905028529735,-1.246566203087895e-16,196,False
LK1106045,40.07891952714693,40.07891952714693,-2.408619443254577e-16,170,False
LK1106050,39.93084935003426,39.93084935003426,0.0,177,False
LK1106055,39.07397998464579,39.07397998464579,1.246566203087895e-16,190,False
LK1106060,39.922467831201374,39.922467831201374,0.0,181,False
LK1106065,37.40617412663625,37.40617412663626,-1.0684853169324814e-16,289,False
LK1106070,37.71995850491662,37.71995850491662,8.77213254024815e-17,287,False
LK1106075,37.91066369977651,37.91066369977651,-3.4944724709513123e-16,275,False
LK1106080,39.425993519314616,39.425993519314616,0.0,186,False
LK1106085,39.48015838678637,39.48015838678637,-2.842170943040401e-16,160,False
LK1106090,39.525141104073946,39.525141104073946,-5.609547913895527e-16,154,False
