zone_id,score_ahp,n_pixels_min,incomplete_criteria,missing_weight,status,rank_ahp,priority,score_gap_at_cut,tied_at_cut
LK1130,0.9225859994222964,945,0,0.0,ok,1,True,,0
LK1103,0.9021739424379263,2014,0,0.0,ok,2,True,,0
LK1127,0.890113107330399,2420,0,0.0,ok,3,True,,0
LK1131,0.7603287594058419,1396,0,0.0,ok,4,True,,0
LK1133,0.7205101708211425,1926,0,0.0,ok,5,True,,0
LK1106,0.6012303446719871,2788,0,0.0,ok,6,True,,0
LK1124,0.5876730605257918,1756,0,0.0,ok,7,True,,0
LK1121,0.4615384615384617,4016,0,0.0,ok,8,True,,0
LK1136,0.3762042984450839,6284,0,0.0,ok,9,True,,0
LK1109,0.3161033938626085,9071,0,0.0,ok,10,True,,0
LK1112,0.22235814459893005,12591,0,0.0,ok,11,True,,0
LK1115,0.14810296930382638,13842,0,0.0,ok,12,True,,0
LK1118,0.0910773476357052,9978,0,0.0,ok,13,True,,0
