zone_id,wetland_within_pct,adjacent_within_250m,adjacent_within_500m,adjacent_within_1000m,adjacent_queen,wetland_status,wetland_policy_flag,adjacency_disagreement,dw_flooded_vegetation_pct,worldcover_wetland_pct,gsw_seasonal_pct,wdpa_pct,wetland_sources
LK1103005,2.9702970297029703,False,False,False,False,within,True,False,0.0,0.066006600660066,2.9702970297029703,0.0,gsw_seasonal
LK1103010,2.4570982839313573,False,False,False,False,within,True,False,0.0,0.4387675507020281,2.1792121684867394,0.0,gsw_seasonal
LK1103015,0.48994326972666324,True,True,True,True,adjacent,True,False,0.0,0.5028365136668386,0.0,0.0,
LK1103020,1.8439716312056738,False,False,False,False,within,True,False,0.0,0.0,1.8439716312056738,0.0,gsw_seasonal
LK1103025,0.8699090549624358,True,True,True,True,adjacent,True,False,0.0,0.0,0.8699090549624358,0.0,
LK1103030,0.1584534938995405,True,True,True,True,adjacent,True,False,0.0,0.0,0.22183489145935667,0.0,
LK1103035,1.9594421151707024,False,False,False,False,within,True,False,0.0,0.0,2.1134593993325916,0.0,gsw_seasonal
LK1103040,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1103045,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1103050,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1103055,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1103060,0.0,True,True,True,False,adjacent,True,True,0.0,0.0,0.0,0.0,
LK1103065,0.0,False,True,True,False,adjacent,True,True,0.0,0.0,0.0,0.0,
LK1103070,0.0,False,False,True,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1103075,0.8876881512929371,False,False,True,False,neither,False,False,0.8876881512929371,0.0,0.0,0.0,
LK1103080,0.0,False,False,True,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1103085,0.0,False,False,True,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1103090,0.0,False,False,True,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1103095,0.0,False,False,True,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1103100,0.0,False,True,True,False,adjacent,True,True,0.0,0.0,0.0,0.0,
LK1103105,0.0,True,True,True,False,adjacent,True,True,0.0,0.0,0.0,0.0,
LK1103110,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1103115,1.2563854756316444,False,False,False,False,within,True,False,0.0,0.0,1.4220626812094437,0.0,gsw_seasonal
LK1103120,11.80365296803653,False,False,False,False,within,True,False,0.0,0.867579908675799,12.054794520547945,0.0,gsw_seasonal
LK1103125,11.665575916230367,False,False,False,False,within,True,False,0.0,0.0,11.81282722513089,0.0,gsw_seasonal
LK1103130,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1103135,14.75616591928251,False,False,False,False,within,True,False,1.4714125560538116,0.07006726457399103,13.298766816143498,0.0,dw_flooded_vegetation;gsw_seasonal
LK1103140,10.318236124687738,False,False,False,False,within,True,False,0.054306505919409144,0.20636472249375476,10.253068317584447,0.0,gsw_seasonal
LK1103145,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1103150,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1103155,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1103160,0.0,True,True,True,False,adjacent,True,True,0.0,0.0,0.0,0.0,
LK1103165,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1103170,0.134390538906061,True,True,True,True,adjacent,True,False,0.013439053890606102,0.0,0.12095148501545491,0.0,
LK1103175,21.046265497429694,False,False,False,False,within,True,False,0.06047777441790142,2.4795887511339583,19.62503779860901,0.0,worldcover_wetland;gsw_seasonal
LK1106005,0.9378185524974516,True,True,True,True,adjacent,True,False,0.0,0.0,0.9378185524974516,0.0,
LK1106010,5.421994884910486,False,False,False,False,within,True,False,0.0,0.0,5.439045183290707,0.0,gsw_seasonal
LK1106015,7.49776852127343,False,False,False,False,within,True,False,0.0,0.0,7.58702767033621,0.0,gsw_seasonal
LK1106020,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
