scheme,class_code,class_label,pixel_count,below_pixel_floor,mean,stdDev
lcz,2,LCZ 2 Compact mid-rise,138,False,-0.2101093738453109,0.0832010429453579
lcz,3,LCZ 3 Compact low-rise,1600,False,-0.1788356849075882,0.109817979355787
lcz,4,LCZ 4 Open high-rise,71,True,-0.144804085267078,0.0876251507205463
lcz,5,LCZ 5 Open mid-rise,11,True,-0.3273619006980549,0.0909316459393049
lcz,6,LCZ 6 Open low-rise,25342,False,-0.1322736389463943,0.1205170135129453
lcz,8,LCZ 8 Large low-rise,897,False,-0.2030126476326078,0.1033069118846683
lcz,9,LCZ 9 Sparsely built,15843,False,-0.1635672010367102,0.1195590098678982
lcz,10,LCZ 10 Heavy industry,76,True,-0.1507008166463402,0.094614495128983
lcz,11,LCZ A Dense trees,16603,False,-0.2403848601462187,0.110308301572631
lcz,12,LCZ B Scattered trees,1880,False,-0.232670418439237,0.1288469160089919
lcz,14,LCZ D Low plants,129,False,-0.1901150528986615,0.1029577696469899
lcz,16,LCZ F Bare soil or sand,1,True,-0.3005008697509765,0.0
lcz,17,LCZ G Water,830,False,-0.1675129905440683,0.0787050741883994
