path,kind,n_colours,metric,worst,threshold,passed,exempt,worst_pair,verdict,monotonic_normal,lightness_span_normal,monotonic_deuteranopia,lightness_span_deuteranopia,monotonic_protanopia,lightness_span_protanopia,monotonic_tritanopia,lightness_span_tritanopia,reason,colours,min_delta_e_normal,min_delta_e_deuteranopia,min_delta_e_protanopia,min_delta_e_tritanopia
uhi.utfvi.palette,sequential,6,lightness_monotonicity,76.3,25.0,True,False,,"L* monotonic, span 76.3",True,77.1,True,76.3,True,79.4,True,76.8,,#f1ef75 #fca309 #e8602d #b63458 #781c6d #390963,,,,
trends.slope_vis.palette,diverging,7,lightness_monotonicity,55.3,25.0,True,False,,"L* monotonic, span 55.3",True,58.9,True,56.0,True,69.0,True,55.3,,#2166ac #67a9cf #d1e5f0 #f7f7f7 #fddbc7 #ef8a62 #b2182b,,,,
trends.n_years_vis.palette,sequential,4,lightness_monotonicity,74.2,25.0,True,False,,"L* monotonic, span 74.2",True,76.0,True,75.0,True,78.9,True,74.2,,#440154 #31688e #35b779 #fde725,,,,
spatial_stats.palettes.lisa,categorical,5,min_delta_e,28.27,12.0,True,False,#b2182b/#ef8a62,min dE 28.3 >= 12.0,,,,,,,,,,#b2182b #2166ac #ef8a62 #67a9cf #f0f0f0,33.23,28.27,31.71,31.83
spatial_stats.palettes.gi_star,diverging,7,lightness_monotonicity,55.3,25.0,True,False,,"L* monotonic, span 55.3",True,58.9,True,56.0,True,69.0,True,55.3,,#b2182b #ef8a62 #fddbc7 #f7f7f7 #d1e5f0 #67a9cf #2166ac,,,,
spatial_stats.palettes.gwr_diverging,diverging,7,lightness_monotonicity,55.3,25.0,True,False,,"L* monotonic, span 55.3",True,58.9,True,56.0,True,69.0,True,55.3,,#2166ac #67a9cf #d1e5f0 #f7f7f7 #fddbc7 #ef8a62 #b2182b,,,,
prediction.palettes.scenario_difference,diverging,7,lightness_monotonicity,55.3,25.0,True,False,,"L* monotonic, span 55.3",True,58.9,True,56.0,True,69.0,True,55.3,,#2166ac #67a9cf #d1e5f0 #f7f7f7 #fddbc7 #ef8a62 #b2182b,,,,
greening.palettes.priority,sequential,6,lightness_monotonicity,48.8,25.0,True,False,,"L* monotonic, span 48.8",True,63.0,True,59.0,True,73.3,True,48.8,,#f7f7f7 #fddbc7 #fdae61 #f46d43 #d73027 #a50026,,,,
greening.palettes.compliance,categorical,5,min_delta_e,36.22,12.0,True,False,#00441b/#d55e00,min dE 36.2 >= 12.0,,,,,,,,,,#00441b #2166ac #ffff99 #d55e00 #bdbdbd,55.05,42.48,36.22,37.56
greening.palettes.wetland_status,categorical,3,min_delta_e,16.28,12.0,True,False,#7fcdbb/#f0f0f0,min dE 16.3 >= 12.0,,,,,,,,,,#2c7fb8 #7fcdbb #f0f0f0,33.28,19.26,16.28,49.97
report.decadal.palette,sequential,6,lightness_monotonicity,63.1,25.0,True,False,,"L* monotonic, span 63.1",True,72.9,True,70.7,True,79.4,True,63.1,,#fee5d9 #fcae91 #fb6a4a #de2d26 #a50f15 #67000d,,,,
report.obs_count_vis.palette,sequential,4,lightness_monotonicity,74.2,25.0,True,False,,"L* monotonic, span 74.2",True,76.0,True,75.0,True,78.9,True,74.2,,#440154 #31688e #35b779 #fde725,,,,
prediction.palettes.dynamic_world,categorical,9,min_delta_e,6.95,12.0,False,True,#e49635/#dfc35a,min dE 6.9 < 12.0 on #e49635/#dfc35a,,,,,,,,,"These are the OFFICIAL Dynamic World legend colours from the Earth Engine catalog. Recolouring them would break the one property that lets a reader compare an observed land-cover panel with any other published Dynamic World map, and Phase 6 exports no projected land-cover product in any case. Land-cover panels carry direct class labels instead.",#419bdf #397d49 #88b053 #7a87c6 #e49635 #dfc35a #c4281b #a59b8f #b39fe1,15.61,11.79,7.94,6.95
spatial_stats.palettes.ehsa,categorical,17,min_delta_e,0.9,12.0,False,True,#fee090/#fddbc7,min dE 0.9 < 12.0 on #fee090/#fddbc7,,,,,,,,,"Seventeen categories cannot be separated by colour at all: this palette fails for a reader with normal colour vision too, which no recolouring of seventeen classes can fix. EHSA maps are therefore read from their ORDERED legend and from direct labelling, with hue carrying only the hot/cold/no-pattern grouping and lightness the degree of establishment.",#fdae61 #f46d43 #a50026 #d73027 #fee090 #fdd0a2 #fddbc7 #e0c2c2 #abd9e9 #74add1 #313695 #4575b4 #e0f3f8 #c6dbef #d1e5f0 #c2ccdd #f0f0f0,5.76,3.24,1.87,0.9
