class_code,class_label,cells,area_km2,share,year
0,Water,1797,17.97,0.02608657782423134,2030
1,Trees,30399,303.99,0.44129431234213046,2030
2,Grass,251,2.51,0.003643701187469152,2030
4,Crops,975,9.75,0.014153819353714833,2030
5,Shrub and scrub,204,2.04,0.0029614145109311037,2030
6,Built,35240,352.4,0.5115698400255495,2030
7,Bare,20,0.2,0.0002903347559736376,2030
0,Water,1797,17.97,0.02608657782423134,2036
1,Trees,30603,306.03,0.4442557268530616,2036
2,Grass,264,2.64,0.0038324187788520165,2036
4,Crops,990,9.9,0.01437157042069506,2036
5,Shrub and scrub,209,2.09,0.003033998199924513,2036
6,Built,35004,350.04,0.5081438899050605,2036
7,Bare,19,0.19,0.00027581801817495573,2036
