zone_id,scenario,year,projected_lst_c,validated,rank,priority
LK1103005,business_as_usual,2030,39.11184892573339,False,135,False
LK1103010,business_as_usual,2030,39.00823327143713,False,147,False
LK1103015,business_as_usual,2030,39.41483548352715,False,133,False
LK1103020,business_as_usual,2030,39.321607194222196,False,155,False
LK1103025,business_as_usual,2030,39.30358565344835,False,96,False
LK1103030,business_as_usual,2030,39.437531625697005,False,113,False
LK1103035,business_as_usual,2030,38.865472313607455,False,53,True
LK1103040,business_as_usual,2030,39.46360150507622,False,17,True
LK1103045,business_as_usual,2030,39.906415742110845,False,9,True
LK1103050,business_as_usual,2030,39.76563856431804,False,45,True
LK1103055,business_as_usual,2030,39.749410935216936,False,29,True
LK1103060,business_as_usual,2030,39.82791139188425,False,24,True
LK1103065,business_as_usual,2030,39.98342529262403,False,7,True
LK1103070,business_as_usual,2030,40.10271185095303,False,1,True
LK1103075,business_as_usual,2030,40.019180078682325,False,2,True
LK1103080,business_as_usual,2030,39.968932379632456,False,3,True
LK1103085,business_as_usual,2030,39.83564996228275,False,5,True
LK1103090,business_as_usual,2030,39.66577925305534,False,70,False
LK1103095,business_as_usual,2030,39.97378324443942,False,39,True
LK1103100,business_as_usual,2030,40.10199413637028,False,8,True
LK1103105,business_as_usual,2030,39.875697887079355,False,36,True
LK1103110,business_as_usual,2030,39.79565287392062,False,6,True
LK1103115,business_as_usual,2030,38.78249357103889,False,27,True
LK1103120,business_as_usual,2030,37.912865834476655,False,117,False
LK1103125,business_as_usual,2030,38.406027086566716,False,174,False
LK1103130,business_as_usual,2030,39.20568497378248,False,110,False
LK1103135,business_as_usual,2030,38.48326387889738,False,127,False
LK1103140,business_as_usual,2030,38.568131889288615,False,75,False
LK1103145,business_as_usual,2030,39.934669811413286,False,43,True
LK1103150,business_as_usual,2030,40.075051396763854,False,46,True
LK1103155,business_as_usual,2030,40.029407135769596,False,31,True
LK1103160,business_as_usual,2030,40.06317867080168,False,25,True
LK1103165,business_as_usual,2030,40.10666969168702,False,30,True
LK1103170,business_as_usual,2030,39.01736123913122,False,80,False
LK1103175,business_as_usual,2030,38.064787038652575,False,151,False
LK1106005,business_as_usual,2030,39.53289017066971,False,35,True
LK1106010,business_as_usual,2030,39.034792858378886,False,122,False
LK1106015,business_as_usual,2030,38.33576906229489,False,238,False
LK1106020,business_as_usual,2030,38.98486907964907,False,194,False
