sensor_key,year,mean,valid_pixels
landsat5,2000,,0
landsat5,2001,,0
landsat5,2002,,0
landsat5,2003,,0
landsat5,2004,33.04968335516884,131
landsat5,2005,34.62456972733551,131
landsat5,2006,37.158480362359775,131
landsat5,2007,32.542742715105135,131
landsat5,2008,34.273852107447595,131
landsat5,2009,33.14959318199936,131
landsat5,2010,32.17146549064572,131
landsat5,2011,33.19560898314861,131
landsat5,2012,,0
landsat5,2013,,0
landsat5,2014,,0
landsat5,2015,,0
landsat5,2016,,0
landsat5,2017,,0
landsat5,2018,,0
landsat5,2019,,0
landsat5,2020,,0
landsat5,2021,,0
landsat5,2022,,0
landsat5,2023,,0
landsat5,2024,,0
landsat5,2025,,0
landsat7,2000,31.613319549468965,131
landsat7,2001,33.36284035823497,131
landsat7,2002,34.56548426404114,128
landsat7,2003,31.195769194594977,131
landsat7,2004,32.308821967011596,131
landsat7,2005,31.36989943213235,129
landsat7,2006,31.604281287262406,127
landsat7,2007,32.69864791453978,120
landsat7,2008,32.32589169155362,131
landsat7,2009,31.748869911505242,131
landsat7,2010,31.903099092494852,125
landsat7,2011,31.94186201049212,130
landsat7,2012,32.77355661907401,131
landsat7,2013,32.5255849200566,131
landsat7,2014,35.26288176535756,100
landsat7,2015,35.161436907390424,126
landsat7,2016,33.92758276723013,131
landsat7,2017,31.95641884179819,131
landsat7,2018,33.850281068099775,97
landsat7,2019,31.288023942231103,130
landsat7,2020,33.678593530784724,82
landsat7,2021,29.7923892347258,104
landsat7,2022,33.211367851796766,114
landsat7,2023,27.851296961459077,128
landsat7,2024,,0
landsat7,2025,,0
landsat8,2000,,0
landsat8,2001,,0
landsat8,2002,,0
landsat8,2003,,0
landsat8,2004,,0
landsat8,2005,,0
landsat8,2006,,0
landsat8,2007,,0
landsat8,2008,,0
landsat8,2009,,0
landsat8,2010,,0
landsat8,2011,,0
landsat8,2012,,0
landsat8,2013,,0
landsat8,2014,34.46100902271156,131
landsat8,2015,35.46164106481216,131
landsat8,2016,35.13231073301664,131
landsat8,2017,34.61679877879954,131
landsat8,2018,36.306872811494905,131
landsat8,2019,36.15235686571228,131
landsat8,2020,34.642544314440556,131
landsat8,2021,35.25661185746574,131
landsat8,2022,35.4789642276741,131
landsat8,2023,33.251561703515925,131
landsat8,2024,34.12945986057388,131
landsat8,2025,34.11383612954458,131
landsat9,2000,,0
landsat9,2001,,0
landsat9,2002,,0
landsat9,2003,,0
landsat9,2004,,0
landsat9,2005,,0
landsat9,2006,,0
landsat9,2007,,0
landsat9,2008,,0
landsat9,2009,,0
landsat9,2010,,0
landsat9,2011,,0
landsat9,2012,,0
landsat9,2013,,0
landsat9,2014,,0
landsat9,2015,,0
landsat9,2016,,0
landsat9,2017,,0
landsat9,2018,,0
landsat9,2019,,0
landsat9,2020,,0
landsat9,2021,,0
landsat9,2022,35.43075650685689,131
landsat9,2023,32.80736533768323,131
landsat9,2024,36.2857548498449,131
landsat9,2025,34.03852970162216,131
