year,source,rural_definition,urban_mean,rural_mean,suhii,urban_pixels,rural_pixels
2000,landsat_dry,buffer_ring,38.0738425599704,32.99947079789838,5.074371762072019,3816,3108
2001,landsat_dry,buffer_ring,42.08636447172971,32.61800274198761,9.4683617297421,4046,3909
2002,landsat_dry,buffer_ring,39.83231686918551,34.636415383724405,5.195901485461107,3269,3236
2003,landsat_dry,buffer_ring,36.99591492537318,32.22299830816764,4.772916617205539,3969,3917
2004,landsat_dry,buffer_ring,39.78929963444226,34.93330623606258,4.855993398379681,4046,3917
2005,landsat_dry,buffer_ring,40.779882547469995,34.3838527558682,6.396029791601798,4046,3917
2006,landsat_dry,buffer_ring,42.294047203855946,35.46868061282849,6.8253665910274535,4046,3917
2007,landsat_dry,buffer_ring,40.28616701089328,33.72924871739301,6.556918293500267,4046,3917
2008,landsat_dry,buffer_ring,40.13370146683049,31.181000521650176,8.952700945180311,4046,3746
2009,landsat_dry,buffer_ring,40.073950743003465,34.27644517161818,5.797505571385287,4046,3917
2010,landsat_dry,buffer_ring,39.111616304824686,30.589937845865887,8.5216784589588,4046,3894
2011,landsat_dry,buffer_ring,39.46564665184832,31.349665350276933,8.115981301571384,4046,2964
2012,landsat_dry,buffer_ring,42.09269315963046,33.15540944525536,8.937283714375098,4035,3525
2013,landsat_dry,buffer_ring,40.91468507296742,33.21184892824823,7.702836144719193,4034,3246
2014,landsat_dry,buffer_ring,40.98305411487302,34.34039012722924,6.642663987643779,4046,3917
2015,landsat_dry,buffer_ring,41.981681489968025,36.136169145324565,5.84551234464346,4046,3917
2016,landsat_dry,buffer_ring,42.00008224698499,35.0733246655984,6.926757581386589,4046,3917
2017,landsat_dry,buffer_ring,39.351937933246276,34.69082359954779,4.661114333698485,4046,3917
2018,landsat_dry,buffer_ring,41.74615787670156,34.98842341832309,6.757734458378472,4046,3917
2019,landsat_dry,buffer_ring,41.546083317378105,33.657444096658494,7.888639220719611,4046,3917
2020,landsat_dry,buffer_ring,39.21713138887685,34.3335070070759,4.883624381800949,4046,3917
2021,landsat_dry,buffer_ring,40.415034638733424,34.510471350811315,5.904563287922109,4046,3917
2022,landsat_dry,buffer_ring,41.11505082168617,33.93983606090648,7.175214760779689,4046,3917
2023,landsat_dry,buffer_ring,37.86558665842687,31.105584559709648,6.760002098717223,4046,3917
2024,landsat_dry,buffer_ring,40.9929089972835,33.67052234165639,7.322386655627113,4046,3917
2025,landsat_dry,buffer_ring,39.7127620783762,33.5155390957834,6.197222982592798,4046,3917
2000,landsat_dry,lcz_based,34.77590131917332,32.87852302672316,1.8973782924501634,44292,11809
2001,landsat_dry,lcz_based,36.17568545025404,32.19489984538022,3.980785604873823,46277,13803
2002,landsat_dry,lcz_based,37.211851527645734,33.69764751982645,3.5142040078192878,42484,12454
2003,landsat_dry,lcz_based,33.102285362218964,32.39293841794488,0.7093469442740812,46284,14182
2004,landsat_dry,lcz_based,36.07492267028014,33.78377631725526,2.291146353024878,46784,14209
2005,landsat_dry,lcz_based,37.47314132251517,34.04768067186667,3.425460650648496,46785,14211
2006,landsat_dry,lcz_based,37.92739510645101,34.83493207598604,3.0924630304649696,46785,14212
2007,landsat_dry,lcz_based,36.44471088229212,33.60664723310846,2.8380636491836597,46784,14211
2008,landsat_dry,lcz_based,34.80649298192708,31.955186911834176,2.851306070092903,44826,13642
2009,landsat_dry,lcz_based,36.499461567350686,34.06798721850522,2.4314743488454624,46786,14212
2010,landsat_dry,lcz_based,33.91128623345834,30.17992676676867,3.7313594666896712,46657,14160
